,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
CEC Plant ID,Plant Name,EIA Plant ID,Resource ID,Resource ID Name,Energy Source Category,City,County,State
E0018,Chowchilla II Biomass,56706,CHWCHL_1_BIOMAS,Chow II Biomass to Energy,BIOGAS/BIOMASS,Chowchilla,Madera,CA
E0025,Plant No 2,52099,ELLIS_2_QF,ELLIS QFS,BIOGAS/BIOMASS,Huntington Beach,Orange,CA
E0026,Collins Pine Co Project,10661,COLPIN_6_COLLNS,,BIOGAS/BIOMASS,Chester,Plumas,CA
E0027,Desert View Power (Mecca Plant),10300,MIRAGE_2_COCHLA,,BIOGAS/BIOMASS,Mecca,Riverside,CA
E0029,Covanta Delano  Inc,10840,PANDOL_6_UNIT,"Covanta Delano, Inc.",BIOGAS/BIOMASS,Delano,Kern,CA
E0029,Covanta Delano  Inc,10840,PANDOL_6_UNIT 1,DELANO ENERGY COMPANY UNIT 1,BIOGAS/BIOMASS,Delano,Kern,CA
E0029,Covanta Delano  Inc,10840,PANDOL_6_UNIT 2,DELANO ENERGY COMPANY UNIT 2,BIOGAS/BIOMASS,Delano,Kern,CA
E0032,Diamond Walnut - Retired December 2005,10257,,,BIOGAS/BIOMASS,Stockton,San Joaquin,CA
E0033,Dinuba Energy,60100,DINUBA_6_UNIT,"Dinuba Energy, Inc.",BIOGAS/BIOMASS,Reedley,Tulare,CA
E0036,EBMUD Wastewater Treatment Plant Power Generation Station,56036,OAK C_1_EBMUD,MWWTP PGS 1 - ENGINES,BIOGAS/BIOMASS,Oakland,Alameda,CA
E0036,EBMUD Wastewater Treatment Plant Power Generation Station,56036,OAK L_7_EBMUD,,BIOGAS/BIOMASS,Oakland,Alameda,CA
E0037,DG Fairhaven Power Plant,10052,FAIRHV_6_UNIT,FAIRHAVEN POWER CO.,BIOGAS/BIOMASS,Samoa,Humboldt,CA
E0038,SPI - Sonora - Restarted 1/1/2012 (Shut Down 9/28/2009),54517,SPIFBD_1_PL1X2,SIERRA PACIFIC IND. (SONORA),BIOGAS/BIOMASS,Sonora,Tuolumne,CA
E0039,Fort Bragg Western Wood Products - Retired December 2001,10607,,,BIOGAS/BIOMASS,Fort Bragg,Mendocino,CA
E0041,HL Power Company (Honey Lake),10777,HONEYL_6_UNIT,,BIOGAS/BIOMASS,Wendel,Lassen,CA
E0041,HL Power Company (Honey Lake),10777,LASSEN_6_UNITS,Honey Lake Power,BIOGAS/BIOMASS,Wendel,Lassen,CA
