State,TypeCode,CECPlantID,EIAPlantID,Unit,LastOfCapacity,Aging,OTC,Peaker,PMCC,NewCombinedCycleUnit,CombinedCycle,StartDate,MaxOfRetireDate,PrimeMoverID,PrimeMoverDesc,PriEnergySource,Description
CA,E,E0005,10652,1,31,0,0,0,0,0,0,10/1/1989 0:00,,ST,Steam Turbine,WDS,"Wood/Wood Waste Solids (Paper Pellets, Railroad Ties, Utility Poles, Wood Chips, and other wood solids)"
CA,E,E0006,54219,GEN 1,11,0,0,0,0,0,0,1/1/1985 0:00,10/31/2010 0:00,ST,Steam Turbine,WDS,"Wood/Wood Waste Solids (Paper Pellets, Railroad Ties, Utility Poles, Wood Chips, and other wood solids)"
CA,E,E0007,56707,Unit 1,12.5,0,0,0,0,0,0,8/15/2008 0:00,,ST,Steam Turbine,WDS,"Wood/Wood Waste Solids (Paper Pellets, Railroad Ties, Utility Poles, Wood Chips, and other wood solids)"
CA,E,E0012,56631,FC,1.2,0,0,0,0,0,0,1/20/2009 0:00,1/10/2012 0:00,FC,Fuel Cell (electrochemical),OBG,"Other Biomass Gases (Digester Gas, Methane, and other biomass gases)"
CA,E,E0018,56706,Unit 1,12.5,0,0,0,0,0,0,5/15/2008 0:00,,ST,Steam Turbine,WDS,"Wood/Wood Waste Solids (Paper Pellets, Railroad Ties, Utility Poles, Wood Chips, and other wood solids)"
CA,E,E0025,52099,GEN 1,3,0,0,0,0,0,0,6/1/1993 0:00,,IC,"Internal Combustion Engine (diesel, piston)",OBG,"Other Biomass Gases (Digester Gas, Methane, and other biomass gases)"
CA,E,E0025,52099,GEN 2,3,0,0,0,0,0,0,6/1/1993 0:00,,IC,"Internal Combustion Engine (diesel, piston)",OBG,"Other Biomass Gases (Digester Gas, Methane, and other biomass gases)"
CA,E,E0025,52099,GEN 3,3,0,0,0,0,0,0,6/1/1993 0:00,,IC,"Internal Combustion Engine (diesel, piston)",OBG,"Other Biomass Gases (Digester Gas, Methane, and other biomass gases)"
CA,E,E0025,52099,GEN 4,3,0,0,0,0,0,0,6/1/1993 0:00,,IC,"Internal Combustion Engine (diesel, piston)",OBG,"Other Biomass Gases (Digester Gas, Methane, and other biomass gases)"
CA,E,E0025,52099,GEN 5,3,0,0,0,0,0,0,6/1/1993 0:00,,IC,"Internal Combustion Engine (diesel, piston)",OBG,"Other Biomass Gases (Digester Gas, Methane, and other biomass gases)"
CA,E,E0025,52099,GEN 6,1,0,0,0,0,0,0,6/1/1993 0:00,,ST,Steam Turbine,OBG,"Other Biomass Gases (Digester Gas, Methane, and other biomass gases)"
CA,E,E0026,10661,GEN4,12,0,0,0,0,0,0,12/1/1985 0:00,,ST,Steam Turbine,WDS,"Wood/Wood Waste Solids (Paper Pellets, Railroad Ties, Utility Poles, Wood Chips, and other wood solids)"
CA,E,E0027,10300,GEN1,54.15,0,0,0,0,0,0,11/1/1991 0:00,,ST,Steam Turbine,WDS,"Wood/Wood Waste Solids (Paper Pellets, Railroad Ties, Utility Poles, Wood Chips, and other wood solids)"
CA,E,E0029,10840,Delano 1,32,1,0,0,0,0,0,12/1/1989 0:00,,ST,Steam Turbine,WDS,"Wood/Wood Waste Solids (Paper Pellets, Railroad Ties, Utility Poles, Wood Chips, and other wood solids)"
CA,E,E0029,10840,Delano 2,26,0,0,0,0,0,0,2/1/1994 0:00,,ST,Steam Turbine,WDS,"Wood/Wood Waste Solids (Paper Pellets, Railroad Ties, Utility Poles, Wood Chips, and other wood solids)"
CA,E,E0032,10257,DWG 1,4.5,0,0,0,0,0,0,4/1/1981 0:00,11/11/2005 0:00,GT,Combustion (gas) Turbine,AB,Agriculture Crop Byproducts/Straw/Energy Crops
CA,E,E0033,Missing,1,11.5,0,0,0,0,0,0,7/1/2003 0:00,,ST,Steam Turbine,WDS,"Wood/Wood Waste Solids (Paper Pellets, Railroad Ties, Utility Poles, Wood Chips, and other wood solids)"
CA,E,E0033,57827,DSPV,1,0,0,0,0,0,0,11/1/2011 0:00,,PV,Photovoltaic,SUN,"Solar (Photovoltaic, Thermal)"
CA,E,E0036,56036,GEN 1,2.15,0,0,0,0,0,0,8/1/1985 0:00,,IC,"Internal Combustion Engine (diesel, piston)",OBG,"Other Biomass Gases (Digester Gas, Methane, and other biomass gases)"
CA,E,E0036,56036,GEN 2,2.15,0,0,0,0,0,0,8/1/1985 0:00,,IC,"Internal Combustion Engine (diesel, piston)",OBG,"Other Biomass Gases (Digester Gas, Methane, and other biomass gases)"
CA,E,E0036,56036,GEN 3,2.15,0,0,0,0,0,0,8/1/1985 0:00,,IC,"Internal Combustion Engine (diesel, piston)",OBG,"Other Biomass Gases (Digester Gas, Methane, and other biomass gases)"
CA,E,E0037,10052,GEN 1,15,0,0,0,0,0,0,9/15/1986 0:00,,ST,Steam Turbine,WDS,"Wood/Wood Waste Solids (Paper Pellets, Railroad Ties, Utility Poles, Wood Chips, and other wood solids)"
CA,E,E0038,54517,1,7.5,0,0,0,0,0,0,2/1/2001 0:00,9/28/2009 0:00,ST,Steam Turbine,WDS,"Wood/Wood Waste Solids (Paper Pellets, Railroad Ties, Utility Poles, Wood Chips, and other wood solids)"
CA,E,E0038,54517,GEN1,7.5,0,0,0,0,0,0,1/1/2012 0:00,,ST,Steam Turbine,WDS,"Wood/Wood Waste Solids (Paper Pellets, Railroad Ties, Utility Poles, Wood Chips, and other wood solids)"
CA,E,E0039,10607,GEN1,15,0,0,0,0,0,0,1/1/1980 0:00,12/31/2001 0:00,GT,Combustion (gas) Turbine,WDS,"Wood/Wood Waste Solids (Paper Pellets, Railroad Ties, Utility Poles, Wood Chips, and other wood solids)"
CA,E,E0041,10777,GEN 1,35.5,0,0,0,0,0,0,7/26/1989 0:00,,ST,Steam Turbine,WDS,"Wood/Wood Waste Solids (Paper Pellets, Railroad Ties, Utility Poles, Wood Chips, and other wood solids)"
CA,E,E0042,50363,L313,17.9,0,0,0,0,0,0,1/1/1988 0:00,12/31/2008 0:00,ST,Steam Turbine,OGW,"Other gases, waste products"
CA,E,E0043,10780,GEN1,1.05,0,0,0,0,0,0,1/1/1992 0:00,12/31/2004 0:00,IC,"Internal Combustion Engine (diesel, piston)",NG,"Natural Gas (Pipeline Weighted National Average w/ HHV 1,050 Btu/scf)"
