"County","Sector","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","Total Usage"
"SONOMA","Residential","    1257.531575","    1328.431524","    1302.969060","    1283.718184","    1289.047708","    1348.836569","    1356.414221","    1360.012116","    1346.591094","    1321.053828","    1303.884735","    1272.987877","    1299.980710","    1230.393491","    1226.250921","    1187.534122","    1152.753528","    1117.037568","    1199.613902","    1191.098838","    1140.427771","    1099.953577","    1061.282895","    1032.481043","    1024.717927","    1027.350417","     989.660199","     998.355312","     987.923198","   34738.293910"
"SONOMA","Total","    2927.864981","    3021.139717","    2965.171576","    2945.374596","    2949.285999","    2976.718507","    2931.588985","    2906.653832","    2886.196753","    2861.184637","    2949.163073","    2923.415489","    2866.305614","    2750.959163","    2864.514047","    2754.251106","    2768.636938","    2634.914038","    2851.818501","    2738.993559","    2579.829145","    2544.500803","    2458.150440","    2356.403084","    2322.649887","    2312.117388","    2262.854072","    2210.215485","    2227.760708","   78748.632123"
"STANISLAUS","Non-Residential","    3006.986245","    3029.511090","    3038.699942","    3054.096946","    3030.054766","    2980.212036","    2961.092141","    2807.042744","    2785.109466","    2848.134324","    2969.045687","    2982.655190","    3030.003968","    2976.084023","    2879.119127","    2889.661190","    2853.880348","    2704.937058","    2796.596717","    2703.323119","    2626.015697","    2508.892043","    2447.023832","    2332.549228","    2283.322095","    2187.753688","    2269.231228","    2302.615775","    2217.459032","   79501.108745"
"STANISLAUS","Residential","    1808.538456","    1847.966228","    1725.488195","    1708.654083","    1723.309509","    1698.575804","    1697.286996","    1666.999718","    1636.082413","    1718.663578","    1709.769175","    1677.031351","    1731.642330","    1651.921230","    1619.001674","    1609.958342","    1504.597521","    1429.164212","    1447.539235","    1377.489813","    1367.577234","    1331.017855","    1331.309900","    1244.928194","    1255.780030","    1219.004491","    1291.823418","    1301.658558","    1196.224573","   44529.004116"
"STANISLAUS","Total","    4815.524702","    4877.477318","    4764.188137","    4762.751029","    4753.364275","    4678.787839","    4658.379136","    4474.042461","    4421.191878","    4566.797902","    4678.814863","    4659.686540","    4761.646298","    4628.005253","    4498.120801","    4499.619532","    4358.477869","    4134.101270","    4244.135952","    4080.812932","    3993.592931","    3839.909898","    3778.333732","    3577.477421","    3539.102124","    3406.758180","    3561.054646","    3604.274334","    3413.683605","  124030.112858"
"SUTTER","Non-Residential","     359.441712","     355.460297","     357.421670","     373.365094","     371.970143","     372.228914","     356.144625","     341.377155","     334.134910","     348.540851","     351.158520","     347.114722","     351.240626","     309.947873","     310.326000","     296.337366","     310.088827","     302.551386","     307.699577","     296.599484","     274.014622","     281.652166","     272.285677","     265.814439","     269.088433","     256.386884","     251.702983","     241.586002","     237.800517","    9103.481475"
"SUTTER","Residential","     278.258196","     291.868371","     274.543176","     274.445158","     277.424902","     275.424375","     279.445385","     271.619489","     265.740867","     276.956473","     277.358295","     273.806875","     275.787567","     259.039640","     253.953909","     245.326165","     228.459695","     218.281907","     232.958914","     226.282229","     222.022397","     221.102650","     219.973839","     203.000605","     203.671153","     200.471983","     201.911746","     194.811427","     191.661435","    7115.608823"
"SUTTER","Total","     637.699908","     647.328668","     631.964846","     647.810252","     649.395045","     647.653289","     635.590010","     612.996644","     599.875778","     625.497324","     628.516816","     620.921597","     627.028193","     568.987513","     564.279909","     541.663531","     538.548521","     520.833293","     540.658491","     522.881712","     496.037019","     502.754816","     492.259516","     468.815044","     472.759586","     456.858867","     453.614728","     436.397429","     429.461952","   16219.090297"
"TEHAMA","Non-Residential","     276.540962","     279.016758","     266.730848","     265.978817","     260.813522","     268.715251","     266.005743","     259.285709","     252.698580","     264.083205","     275.108219","     278.107657","     249.373549","     238.255228","     246.674394","     242.359267","     205.578677","     302.241154","     287.812742","     287.022247","     266.182281","     276.526692","     266.269342","     258.628672","     253.443873","     244.048769","     240.290545","     235.090418","     248.855515","    7561.738636"
"TEHAMA","Residential","     231.841687","     240.327143","     229.926634","     229.651559","     231.062458","     237.287413","     238.703201","     233.762771","     233.175209","     237.856355","     233.977987","     230.410313","     227.426935","     214.093879","     216.066670","     202.320126","     198.326011","     189.921097","     200.151209","     197.215782","     191.372709","     187.591870","     186.971977","     177.708536","     176.948991","     173.922991","     176.012138","     175.080818","     171.136295","    6070.250764"
"TEHAMA","Total","     508.382649","     519.343901","     496.657482","     495.630376","     491.875980","     506.002663","     504.708944","     493.048480","     485.873790","     501.939560","     509.086206","     508.517970","     476.800484","     452.349107","     462.741063","     444.679393","     403.904688","     492.162251","     487.963951","     484.238028","     457.554990","     464.118562","     453.241319","     436.337209","     430.392864","     417.971760","     416.302683","     410.171236","     419.991809","   13631.989398"
"TRINITY","Non-Residential","     120.411967","     125.816034","     117.730556","     101.051829","     107.412887","     108.320334","     100.586127","     109.583381","      77.454181","      83.031267","       2.423341","       1.991885","      62.783185","      63.824159","       6.957762","      15.714568","      15.087174","       2.208223","       2.480198","       2.799628","       2.312930","       2.864903","       2.968178","       3.002780","       3.086261","       6.321745","       9.538606","      10.250799","      10.094531","    1278.109419"
"TRINITY","Residential","      10.236257","      11.632714","      10.999486","      10.261935","      10.421299","      11.208753","      11.473353","      11.598747","      11.276366","      10.634786","       9.987798","       9.433199","       8.570780","       8.280921","       8.415927","       7.848777","       7.951537","       7.554643","       7.868440","       7.574803","       7.393925","       7.337407","       7.248651","       7.045808","       7.025787","      17.383441","      25.816312","      26.623264","      26.298566","     325.403682"
"TRINITY","Total","     130.648224","     137.448748","     128.730041","     111.313763","     117.834186","     119.529087","     112.059481","     121.182128","      88.730547","      93.666053","      12.411139","      11.425084","      71.353965","      72.105080","      15.373689","      23.563345","      23.038711","       9.762866","      10.348639","      10.374431","       9.706855","      10.202311","      10.216828","      10.048588","      10.112048","      23.705185","      35.354918","      36.874063","      36.393096","    1603.513099"
"TULARE","Non-Residential","    3199.945420","    2978.660273","    3152.066245","    3263.553744","    3267.002018","    3106.120818","    2977.358171","    2582.673513","    2676.488309","    2791.608955","    2760.712692","    2652.248654","    2497.792147","    2274.678009","    2289.953610","    2216.908428","    2524.646320","    2372.978092","    2383.457810","    2308.351244","    1714.517731","    1853.446262","    1778.273719","    1650.016504","    1747.190856","    1611.596101","    1776.143753","    1721.519039","    1788.022809","   69917.931246"
"TULARE","Residential","    1312.968416","    1327.611554","    1221.377175","    1219.385964","    1223.528153","    1207.791753","    1182.436357","    1162.176496","    1139.392542","    1187.638224","    1161.595705","    1117.295191","    1191.525557","    1085.246048","    1046.763680","    1038.091984","     941.917305","     923.798861","     961.796790","     889.037278","     890.108631","     875.533090","     875.439751","     829.967205","     834.705547","     812.396109","     820.298247","     807.148766","     788.669980","   30075.642359"
"TULARE","Total","    4512.913836","    4306.271827","    4373.443420","    4482.939708","    4490.530171","    4313.912571","    4159.794528","    3744.850009","    3815.880851","    3979.247179","    3922.308397","    3769.543846","    3689.317704","    3359.924057","    3336.717290","    3255.000412","    3466.563625","    3296.776953","    3345.254600","    3197.388522","    2604.626362","    2728.979352","    2653.713470","    2479.983709","    2581.896404","    2423.992211","    2596.442000","    2528.667805","    2576.692790","   99993.573609"
"TUOLUMNE","Non-Residential","     245.280370","     243.775928","     238.527767","     235.499722","     234.274231","     240.993867","     233.703300","     225.241857","     212.050287","     222.618567","     203.576637","     210.690330","     503.201774","     261.287533","     222.674649","     205.366731","     218.972553","     217.069701","     247.143320","     229.129249","     222.012101","     189.567162","     164.119001","     212.158533","     239.087603","     268.186391","     253.778004","     248.528210","     247.047050","    6895.562428"
"TUOLUMNE","Residential","     208.530869","     217.079235","     209.324561","     206.545733","     206.145512","     219.803474","     220.364157","     220.505524","     222.835124","     224.344464","     224.550168","     223.038633","     219.301970","     213.696094","     217.969810","     207.063058","     208.122100","     200.317723","     207.408208","     206.826367","     203.618627","     191.286347","     189.765704","     186.285027","     185.058503","     187.026583","     181.083104","     186.355869","     184.325696","    5978.578244"
"TUOLUMNE","Total","     453.811239","     460.855163","     447.852329","     442.045455","     440.419743","     460.797342","     454.067457","     445.747381","     434.885411","     446.963031","     428.126806","     433.728963","     722.503744","     474.983627","     440.644459","     412.429789","     427.094653","     417.387424","     454.551528","     435.955616","     425.630727","     380.853509","     353.884705","     398.443561","     424.146106","     455.212975","     434.861108","     434.884079","     431.372747","   12874.140677"
"VENTURA","Non-Residential","    3656.643820","    3691.219452","    3676.453577","    3782.157683","    3585.800036","    3500.198082","    3606.113603","    3673.447111","    3666.665306","    3735.904606","    4031.100022","    3851.332255","    3926.175420","    3863.548941","    3833.552430","    3647.170067","    3995.800998","    3631.769481","    4219.783105","    3851.472657","    3529.743274","    3386.421404","    3234.827782","    3169.615157","    3131.362923","    3088.717193","    3029.318277","    3062.252950","    3140.198237","  104198.765849"
"VENTURA","Residential","    1882.782179","    1908.202371","    1785.210931","    1822.525154","    1909.056139","    1903.520128","    1920.689052","    1802.353129","    1790.313630","    1856.569146","    1892.179471","    1841.655365","    1765.764993","    1786.184805","    1744.202656","    1692.796422","    1582.853381","    1533.180703","    1652.837940","    1519.151419","    1462.682520","    1481.608592","    1426.889935","    1385.918311","    1395.507016","    1351.133971","    1371.460201","    1348.884490","    1349.773045","   48165.887095"
"VENTURA","Total","    5539.425998","    5599.421822","    5461.664508","    5604.682837","    5494.856175","    5403.718210","    5526.802654","    5475.800240","    5456.978936","    5592.473753","    5923.279493","    5692.987620","    5691.940413","    5649.733746","    5577.755086","    5339.966489","    5578.654379","    5164.950184","    5872.621045","    5370.624076","    4992.425794","    4868.029995","    4661.717717","    4555.533468","    4526.869938","    4439.851163","    4400.778477","    4411.137441","    4489.971282","  152364.652939"
"YOLO","Non-Residential","    1203.321346","    1207.288362","    1197.331724","    1197.794134","    1231.610772","    1194.028649","    1163.681971","    1149.773426","    1105.342535","    1166.032150","    1113.701656","    1132.282024","    1201.822945","    1205.947337","    1053.031939","     947.127910","    1077.010965","     935.803159","    1013.238930","    1144.004513","     915.712275","     890.653321","     891.740006","     852.738404","     857.379679","     821.724037","     780.289657","     777.073510","     780.064748","   30207.552084"
"YOLO","Residential","     514.741442","     537.954244","     508.110689","     504.997365","     505.718004","     508.238888","     510.870614","     500.228432","     494.710537","     514.856311","     508.267258","     498.576896","     511.971157","     492.597295","     474.012029","     473.559677","     437.449931","     416.834959","     444.344885","     419.293215","     407.010551","     401.931353","     395.182263","     364.965623","     362.160463","     366.895768","     366.594257","     361.263298","     361.662528","   13164.999932"
"YOLO","Total","    1718.062788","    1745.242606","    1705.442413","    1702.791499","    1737.328776","    1702.267537","    1674.552585","    1650.001857","    1600.053073","    1680.888460","    1621.968914","    1630.858920","    1713.794102","    1698.544633","    1527.043968","    1420.687587","    1514.460896","    1352.638118","    1457.583815","    1563.297728","    1322.722827","    1292.584674","    1286.922268","    1217.704027","    1219.540142","    1188.619806","    1146.883915","    1138.336808","    1141.727276","   43372.552018"
"YUBA","Non-Residential","     284.902029","     277.207183","     267.674821","     269.201358","     274.548897","     276.876586","     266.013317","     262.526545","     261.500580","     307.045651","     263.270724","     276.528747","     339.480880","     334.840761","     290.965887","     206.742143","     457.177985","     348.966719","     350.347205","     462.152821","     294.566622","     291.679399","     306.485791","     284.006126","     303.530840","     289.966296","     322.863967","     323.934790","     310.463080","    8805.467750"
"YUBA","Residential","     220.066702","     229.260629","     215.090257","     210.034874","     214.855318","     212.555287","     215.763758","     208.767382","     203.722227","     205.290033","     200.068673","     198.678040","     193.682356","     183.287730","     171.593596","     158.208847","     154.460551","     148.301835","     155.190740","     151.844374","     148.137424","     146.173412","     148.199468","     139.638867","     141.866205","     140.554885","     141.721570","     139.556078","     137.659067","    5134.230185"
"YUBA","Total","     504.968731","     506.467811","     482.765078","     479.236233","     489.404215","     489.431873","     481.777076","     471.293926","     465.222807","     512.335684","     463.339397","     475.206788","     533.163236","     518.128491","     462.559484","     364.950989","     611.638536","     497.268555","     505.537945","     613.997194","     442.704047","     437.852811","     454.685259","     423.644993","     445.397045","     430.521181","     464.585537","     463.490868","     448.122147","   13939.697937"
