Address,Comparison Field,Vintage,All Other,Group Comparison,City1,County1,ENERGYSTARCertified 2018,ENERGY STAR Score,Latitude1,Longitude1,Postal Code,Property Type,Property Type (Legend),Building GFA (SqFt),Property Id,Property Name,State1,Report Type,Site EUI (WN kBtu/SqFt),Year Built
400 Capitol Mall,Search Above for Results,1990-1999,FALSE, ,SACRAMENTO,Sacramento,Certified,84,38.578359,-121.502514,95814,Office,Office,"557,862",2066,Wells Fargo Center,CA,Energy Metrics,57,1992
650 Page Mill Rd.,Search Above for Results,1990-1999,FALSE, ,PALO ALTO,Santa Clara,Certified,67,37.421646,-122.144718,94304,Office,Office,"184,142",5199,650 Page Mill Rd.,CA,Energy Metrics,98,1993
601 California Ave,Search Above for Results,1990-1999,FALSE, ,PALO ALTO,Santa Clara,Certified,74,37.43622498,-122.1366056,94304,Office,Office,"111,653",5904,601 California,CA,Energy Metrics,82,1998
21250 Hawthorne Boulevard,Search Above for Results,1980-1989,FALSE, ,TORRANCE,Los Angeles,Certified,87,33.836039,-118.3519847,90503,Office,Office,"310,638",7536,The Torrance,CA,Energy Metrics,50,1988
6150 Stoneridge Mall Rd.,Search Above for Results,1980-1989,FALSE, ,PLEASANTON,"Alameda, Contra Costa",Certified,80,37.697655,-121.924352,94588,Office,Office,"74,707",8229,6150 Stoneridge,CA,Energy Metrics,51,1986
6140 Stoneridge Mall Rd.,Search Above for Results,1980-1989,FALSE, ,PLEASANTON,"Alameda, Contra Costa",Certified,92,37.697732,-121.923217,94588,Office,Office,"191,595",8235,6140 Stoneridge,CA,Energy Metrics,44,1986
6130 Stoneridge Mall Rd.,Search Above for Results,1980-1989,FALSE, ,PLEASANTON,"Alameda, Contra Costa",Certified,90,37.69847033,-121.923552,94588,Office,Office,"116,831",8236,6130 Stoneridge,CA,Energy Metrics,47,1989
6160 Stoneridge Mall Rd.,Search Above for Results,1980-1989,FALSE, ,PLEASANTON,"Alameda, Contra Costa",Not Certified,94,37.697898,-121.925406,94588,Office,Office,"116,000",8237,6160 Stoneridge,CA,Energy Metrics,42,1986
6120 Stoneridge Mall Rd.,Search Above for Results,1990-1999,FALSE, ,PLEASANTON,"Alameda, Contra Costa",Certified,90,37.698815,-121.924845,94588,Office,Office,"73,046",8238,6120 Stoneridge,CA,Energy Metrics,43,1998
6200 Stoneridge Mall Rd.,Search Above for Results,2000-2009,FALSE, ,PLEASANTON,"Alameda, Contra Costa",Certified,84,37.695897,-121.924523,94588,Office,Office,"152,167",8239,6200 Stoneridge,CA,Energy Metrics,59,2000
6210 Stoneridge Mall Rd.,Search Above for Results,2000-2009,FALSE, ,PLEASANTON,"Alameda, Contra Costa",Certified,94,37.69526,-121.924091,94588,Office,Office,"152,167",8240,6210 Stoneridge,CA,Energy Metrics,41,2001
6220 Stoneridge Mall Rd.,Search Above for Results,2000-2009,FALSE, ,PLEASANTON,"Alameda, Contra Costa",Certified,93,37.695473,-121.921831,94588,Office,Office,"152,167",8241,6220 Stoneridge,CA,Energy Metrics,57,2001
650 Town Center Drive,Search Above for Results,1980-1989,FALSE, ,COSTA MESA,Orange,Certified,82,33.693222,-117.882689,92626,Office,Office,"462,191",8642,Center Tower Building,CA,Energy Metrics,39,1985
600 Anton Blvd.,Search Above for Results,1990-1999,FALSE, ,COSTA MESA,Orange,Certified,79,33.69041333,-117.8827175,92626,Office,Office,"456,803",8655,Plaza Tower,CA,Energy Metrics,48,1991
695 Town Center Drive,Search Above for Results,1970-1979,FALSE, ,COSTA MESA,Orange,Certified,82,33.692045,-117.884364,92626,Office,Office,"307,262",8656,Park Tower,CA,Energy Metrics,45,1979
501 Santa Monica Blvd,Search Above for Results,1970-1979,FALSE, ,SANTA MONICA,Los Angeles,Certified,85,34.01755917,-118.4941528,90401,Mixed Use Property,Mixed Use Property,"76,288",9292,501 Santa Monica Blvd,CA,Energy Metrics,66,1975
3130 Wilshire Blvd,Search Above for Results,1960-1969,FALSE, ,SANTA MONICA,Los Angeles,Certified,88,34.04002,-118.47166,90403,Office,Office,"89,794",10579,3130 Wilshire Blvd,CA,Energy Metrics,64,1969
18191 Von Karman,Search Above for Results,1990-1999,FALSE, ,IRVINE,Orange,Not Certified,90,33.678528,-117.852598,92612,Office,Office,"139,700",10963,Lakeshore Towers Building 2,CA,Energy Metrics,34,1999
18101 Von Karman,Search Above for Results,1990-1999,FALSE, ,IRVINE,Orange,Not Certified,81,33.680033,-117.853208,92612,Office,Office,"424,176",10968,Lakeshore Towers Building 1,CA,Energy Metrics,48,1990
18111 Von Karman,Search Above for Results,2000-2009,FALSE, ,IRVINE,Orange,Not Certified,90,33.680327,-117.853905,92612,Office,Office,"247,504",10969,Lakeshore Towers Building 3,CA,Energy Metrics,46,2000
301 E. Vanderbilt  Way,Search Above for Results,1980-1989,FALSE, ,SAN BERNARDINO,San Bernardino,Not Certified, ,34.068263,-117.278137,92408,Office,Office,"73,802",16191,One Vanderbilt,CA,Energy Metrics,32,1988
395 Oyster Point Boulevard,Search Above for Results,1980-1989,FALSE, ,SOUTH SAN FRANCISCO,San Mateo,Not Certified,96,37.66722967,-122.3826035,94080,Office,Office,"234,479",16473,Oyster Point Marina Plaza (395),CA,Energy Metrics,33,1985
400 Oyster Point Boulevard,Search Above for Results,1980-1989,FALSE, ,SOUTH SAN FRANCISCO,San Mateo,Not Certified,93,37.66554883,-122.3825898,94080,Office,Office,"234,479",16474,Oyster Point Marina Plaza (400),CA,Energy Metrics,37,1982
1 Lagoon Drive,Search Above for Results,1980-1989,FALSE, ,REDWOOD CITY,San Mateo,Certified,86,37.527234,-122.261092,94065,Office,Office,"124,934",17366,Paragon Point I,CA,Energy Metrics,57,1984
3 Lagoon,Search Above for Results,1980-1989,FALSE, ,REDWOOD CITY,San Mateo,Certified,86,37.525156,-122.262237,94065,Office,Office,"124,934",17367,Paragon Point III,CA,Energy Metrics,54,1984
330 North Brand Blvd.,Search Above for Results,1980-1989,FALSE, ,GLENDALE,Los Angeles,Certified,91,34.15115967,-118.2546205,91203,Office,Office,"330,943",18161,330 North Brand,CA,Energy Metrics,38,1983
655 N. Central Ave.,Search Above for Results,1990-1999,FALSE, ,GLENDALE,Los Angeles,Certified,95,34.15564,-118.25849,91203,Office,Office,"596,247",21492,Glendale Plaza,CA,Energy Metrics,34,1999
2251 Harvard Street,Search Above for Results,1980-1989,FALSE, ,SACRAMENTO,Sacramento,Certified,94,38.60820733,-121.4357385,95815,Office,Office,"153,346",23125,Harvard Corporate Center II,CA,Energy Metrics,42,1988
19000 MacArthur Blvd,Search Above for Results,1980-1989,FALSE, ,IRVINE,Orange,Certified,79,33.6722585,-117.8624937,92612,Office,Office,"158,085",23970,19000 MacArthur,CA,Energy Metrics,58,1980
17901 Von Karman Avenue,Search Above for Results,1980-1989,FALSE, ,IRVINE,Orange,Certified,84,33.683072,-117.849677,92614,Office,Office,"290,729",23974,17901 Von Karman,CA,Energy Metrics,38,1985
100/200 N. Pacific Coast Highway (A&B),Search Above for Results,1980-1989,FALSE, ,EL SEGUNDO,Los Angeles,Certified,92,33.842302,-118.385594,90245,Office,Office,"1,149,090",24612,Pacific Corporate Towers-100/200 N. Pacific Coast Highway (A&B),CA,Energy Metrics,41,1982
625 Carnegie Drive,Search Above for Results,1980-1989,FALSE, ,SAN BERNARDINO,San Bernardino,Certified,65,34.068607,-117.272075,92408,Office,Office,"66,556",26336,One Carnegie Plaza II (625),CA,Energy Metrics,59,1989
1111 Broadway,Search Above for Results,1990-1999,FALSE, ,OAKLAND,Alameda,Certified,83,37.80282,-122.272921,94607,Office,Office,"601,014",27161,1111 Broadway,CA,Energy Metrics, ,1990
800 N. Brand Blvd,Search Above for Results,1990-1999,FALSE, ,GLENDALE,Los Angeles,Certified,87,34.157695,-118.2532783,91203,Office,Office,"544,476",1024317,800 North Brand,CA,Energy Metrics, ,1990
101 S. Ellsworth Avenue,Search Above for Results,2000-2009,FALSE, ,SAN MATEO,San Mateo,Certified,83,37.566383,-122.324262,94401,Mixed Use Property,Mixed Use Property,"94,598",1035931,101 S. Ellsworth,CA,Energy Metrics,73,2002
400 South El Camino Real,Search Above for Results,1970-1979,FALSE, ,SAN MATEO,San Mateo,Certified,75,37.561876,-122.325251,94402,Office,Office,"153,432",1035932,400 South El Camino Real,CA,Energy Metrics,102,1973
"101 North Brand Blvd, Suite 1710",Search Above for Results,1990-1999,FALSE, ,GLENDALE,Los Angeles,Certified,88,34.14704733,-118.2557628,91203,Office,Office,"425,478",1039443,BCAL 101 North Brand Property LLC,CA,Energy Metrics,46,1991
2040 Main Street,Search Above for Results,2000-2009,FALSE, ,IRVINE,Orange,Certified,89,33.682879,-117.852506,92614,Office,Office,"344,118",1046744,2040 Main,CA,Energy Metrics,31,2002
11160 Warner Ave.,Search Above for Results,1980-1989,FALSE, ,FOUNTAIN VALLEY,Orange,Not Certified,31,33.71546,-117.934326,92708,Medical Office,Medical Office,"61,004",1050849,Fountain Valley- AHF 3,CA,Energy Metrics,84,1981
11180 Warner Ave.,Search Above for Results,1980-1989,FALSE, ,FOUNTAIN VALLEY,Orange,Not Certified,69,33.715484,-117.933469,92708,Medical Office,Medical Office,"66,088",1050851,Fountain Valley- AHF 4,CA,Energy Metrics,47,1984
11190 Warner Ave.,Search Above for Results,1990-1999,FALSE, ,FOUNTAIN VALLEY,Orange,Not Certified,8,33.713991,-117.93337,92708,Medical Office,Medical Office,"75,000",1050853,Fountain Valley- AHF 5,CA,Energy Metrics,130,1997
9595 Wilshire Blvd.,Search Above for Results,1970-1979,FALSE, ,BEVERLY HILLS,Los Angeles,Certified,77,34.06763,-118.40262,90212,Office,Office,"206,122",1053926,9595 Wilshire,CA,Energy Metrics,62,1973
100 Spectrum Center Drive,Search Above for Results,1980-1989,FALSE, ,IRVINE,Orange,Certified,89,33.650565,-117.747624,92618,Office,Office,"387,845",1054056,100 Spectrum Center,CA,Energy Metrics,48,1989
3200 Park Center Drive,Search Above for Results,1980-1989,FALSE, ,COSTA MESA,Orange,Certified,92,33.688802,-117.882801,92626,Office,Office,"318,655",1058317,3200 Park Center Drive,CA,Energy Metrics,36,1981
611 Anton Blvd.,Search Above for Results,1980-1989,FALSE, ,COSTA MESA,Orange,Certified,81,33.68953183,-117.8819707,92626,Office,Office,"320,461",1058320,611 Anton Blvd.,CA,Energy Metrics,47,1981
5000 Birch Street,Search Above for Results,1980-1989,FALSE, ,NEWPORT BEACH,Orange,Not Certified, ,33.665151,-117.85933,92660,Office,Office,"328,015",1061745,5000 Birch Street,CA,Characteristics Only, ,1982
3400 Riverside Drive,Search Above for Results,1980-1989,FALSE, ,BURBANK,Los Angeles,Not Certified,20,34.152178,-118.336353,91505,Mixed Use Property,Mixed Use Property,"440,774",1065472,Studio Plaza,CA,Energy Metrics,133,1985
101 South Marengo Ave.,Search Above for Results,1970-1979,FALSE, ,PASADENA,Los Angeles,Not Certified,86,34.14391133,-118.146846,91101,Office,Office,"333,027",1067990,CA9-702 Pasadena Center,CA,Energy Metrics,54,1972
111 West Ocean Blvd.,Search Above for Results,1990-1999,FALSE, ,LONG BEACH,Los Angeles,Certified,90,33.76761,-118.1931112,90802,Mixed Use Property,Mixed Use Property,"464,406",1070000,Landmark Square,CA,Energy Metrics,42,1991
915 L Street,Search Above for Results,1980-1989,FALSE, ,SACRAMENTO,Sacramento,Certified,84,38.57858,-121.495043,95814,Office,Office,"171,064",1070374,915 L Street - Capitol Place,CA,Energy Metrics,53,1986
475  14th Street,Search Above for Results,1980-1989,FALSE, ,OAKLAND,Alameda,Certified,84,37.804525,-122.2723637,94612,Office,Office,"196,484",1071003,475 City Center,CA,Energy Metrics,40,1983
275 Valencia Ave.,Search Above for Results,1980-1989,FALSE, ,BREA,Orange,Certified,80,33.91522,-117.85048,92823,Office,Office,"637,500",1071301,CA7-701 Brea Center,CA,Energy Metrics,51,1982
385 E. Colorado Blvd.,Search Above for Results,2000-2009,FALSE, ,PASADENA,Los Angeles,Certified,78,34.14637167,-118.1419917,91101,Office,Office,"313,405",1089967,Western Asset Plaza,CA,Energy Metrics,76,2004
14750 MILLER AVE CALL # 5055,Search Above for Results,1980-1989,FALSE, ,FONTANA,San Bernardino,Not Certified,64,34.112068,-117.480538,92336,Distribution Center,All Other,"1,394,370",1103697,FONTANA CA DC (0553),CA,Energy Metrics,20,1987
2050 E BEAMER ST,Search Above for Results,1980-1989,FALSE, ,WOODLAND,Yolo,Not Certified,41,38.682821,-121.721686,95776,Distribution Center,All Other,"1,840,114",1103705,WOODLAND CA DC (0555),CA,Energy Metrics,33,1988
3880 ZACHARY AVE,Search Above for Results,2000-2009,FALSE, ,SHAFTER,Kern,Not Certified,53,35.44492,-119.18514,93263,Distribution Center,All Other,"1,850,499",1103714,SHAFTER CA DC (0593),CA,Energy Metrics,23,2003
1301 Dove Street,Search Above for Results,1980-1989,FALSE, ,NEWPORT BEACH,Orange,Certified,83,33.662111,-117.866622,92660,Office,Office,"205,668",1121599,1301 Dove St.,CA,Energy Metrics,51,1980
6230 Stoneridge Mall Rd.,Search Above for Results,2000-2009,FALSE, ,PLEASANTON,"Alameda, Contra Costa",Certified, ,37.69441833,-121.921495,94588,Office,Office,"152,167",1125706,6230 Stoneridge,CA,Energy Metrics,30,2001
1111 Franklin Street,Search Above for Results,1990-1999,FALSE, ,OAKLAND,Alameda,Not Certified,93,37.802276,-122.271456,94607,Office,Office,"227,600",1131179,UCOP,CA,Energy Metrics,44,1998
15615 Alton Parkwy,Search Above for Results,1980-1989,FALSE, ,IRVINE,Orange,Not Certified,60,33.656315,-117.753439,92618,Office,Office,"90,226",1138237,Palm Court - 15615,CA,Energy Metrics,91,1989
One World Trade Center,Search Above for Results,1990-1999,FALSE, ,LONG BEACH,,Certified,89,33.76795267,-118.2001858,90831,Office,Office,"596,344",1139543,Steelwave One World Trade Center,CA,Energy Metrics,41,1990
300 Spectrum Center Drive,Search Above for Results,1980-1989,FALSE, ,IRVINE,Orange,Certified,82,33.653874,-117.747288,92618,Office,Office,"329,332",1139622,300 Spectrum Center,CA,Energy Metrics,47,1989
3 Park  Plaza,Search Above for Results,1990-1999,FALSE, ,IRVINE,Orange,Certified,83,33.67748,-117.83858,92614,Office,Office,"450,766",1147087,3 Park Plaza,CA,Energy Metrics,42,1990
4 Park Plaza,Search Above for Results,1990-1999,FALSE, ,IRVINE,Orange,Certified,86,33.67827167,-117.8370667,92614,Office,Office,"462,211",1147091,4 Park Plaza,CA,Energy Metrics,37,1990
5 Park Plaza,Search Above for Results,1980-1989,FALSE, ,IRVINE,Orange,Certified,85,33.67638,-117.8372567,92614,Office,Office,"455,774",1147095,5 Park Plaza,CA,Energy Metrics,36,1989
980 9th. Street,Search Above for Results,1990-1999,FALSE, ,SACRAMENTO,Sacramento,Certified, ,38.58114,-121.49502,95814,Office,Office,"534,868",1150644,Park Tower,CA,Energy Metrics,54,1991
2020 Main Street,Search Above for Results,1990-1999,FALSE, ,IRVINE,Orange,Certified,85,33.683657,-117.853331,92614,Office,Office,"282,387",1154378,2020 Main Street,CA,Energy Metrics,44,1999
18600 MacArthur Blvd,Search Above for Results,1970-1979,FALSE, ,IRVINE,Orange,Not Certified, ,33.67769833,-117.8595183,92612,Office,Office,"67,873",1158701,ABC NORTH (18600 MacArthur),CA,Energy Metrics,29,1970
18650 MacArthur Blvd,Search Above for Results,1970-1979,FALSE, ,IRVINE,Orange,Not Certified,100,33.67695925,-117.8607571,92612,Office,Office,"67,872",1158710,ABC SOUTH (18650 MacArthur),CA,Energy Metrics,8,1970
500 Newport Center Drive,Search Above for Results,1960-1969,FALSE, ,NEWPORT BEACH,Orange,Certified,79,33.615892,-117.871724,92660,Office,Office,"138,288",1158729,500 Newport Center,CA,Energy Metrics,54,1968
550 Newport Center Drive,Search Above for Results,1960-1969,FALSE, ,NEWPORT BEACH,Orange,Certified,75,33.616688,-117.87173,92660,Office,Office,"138,137",1158791,550 Newport Center,CA,Energy Metrics, ,1968
610 Newport Center Drive,Search Above for Results,1970-1979,FALSE, ,NEWPORT BEACH,Orange,Certified,78,33.618319,-117.872486,92660,Office,Office,"322,088",1158798,610 Newport Center,CA,Energy Metrics,49,1971
450 Newport Cener Drive,Search Above for Results,1970-1979,FALSE, ,NEWPORT BEACH,Orange,Certified,73,33.614954,-117.87192,92660,Office,Office,"96,079",1158930,450 Newport Center,CA,Energy Metrics,60,1974
925 L Street,Search Above for Results,1970-1979,FALSE, ,SACRAMENTO,Sacramento,Not Certified,91,38.57849,-121.494662,95814,Office,Office,"182,018",1160020,925 L Street,CA,Energy Metrics,37,1973
620 Newport Center Drive,Search Above for Results,1970-1979,FALSE, ,NEWPORT BEACH,Orange,Certified,79,33.619401,-117.872677,92660,Office,Office,"262,602",1161089,620 Newport Center,CA,Energy Metrics,44,1971
660 Newport Center Drive,Search Above for Results,1970-1979,FALSE, ,NEWPORT BEACH,Orange,Certified,74,33.621028,-117.874311,92660,Office,Office,"299,738",1161097,660 Newport Center,CA,Energy Metrics,52,1974
4651 Telephone Road,Search Above for Results,1980-1989,FALSE, ,VENTURA,Ventura,Not Certified,87,34.258687,-119.235596,93003,Office,Office,"79,248",1163422,Telephone Road Building,CA,Energy Metrics,46,1984
1400 Vanguard Drive,Search Above for Results,1980-1989,FALSE, ,OXNARD,Ventura,Not Certified,70,34.187073,-119.160768,93033,Office,Office,"78,505",1163425,Vanguard Building,CA,Energy Metrics,62,1987
2101 E. Olson Rd.,Search Above for Results,1980-1989,FALSE, ,THOUSAND OAKS,Ventura,Not Certified, ,34.247851,-118.834065,91360,Police Station,All Other,"68,051",1163429,East Valley Sheriffs Station,CA,Energy Metrics,82,1988
17900   JAMBOREE RD,Search Above for Results,1980-1989,FALSE, ,IRVINE,Orange,Not Certified,43,33.677787,-117.84033,92614,Hotel,Hotel,"423,500",1164419,Hotel Irvine,CA,Energy Metrics,96,1985
20700 AVALON BLVD,Search Above for Results,1970-1979,FALSE, ,CARSON,Los Angeles,Not Certified,87,33.84432883,-118.261737,90746,Retail Store,Retail Store,"200,697",1166156,"CARSON, CA-0246",CA,Energy Metrics,27,1975
67 LAKEWOOD CTR MALL,Search Above for Results,1960-1969,FALSE, ,LAKEWOOD,Los Angeles,Not Certified,75,33.848318,-118.140484,90712,Retail Store,Retail Store,"167,541",1166157,"LAKEWOOD, CA-0250",CA,Energy Metrics,36,1967
1500 STONERIDGE MALL RD,Search Above for Results,1980-1989,FALSE, ,PLEASANTON,"Alameda, Contra Costa",Not Certified,62,37.696485,-121.929654,94588,Retail Store,Retail Store,"155,919",1166158,"PLEASANTON, CA-0389-MS",CA,Energy Metrics,42,1980
950 DANA DR,Search Above for Results,1970-1979,FALSE, ,REDDING,Shasta,Not Certified,74,40.588089,-122.354424,96003,Retail Store,Retail Store,"139,890",1166165,"REDDING, CA-0260",CA,Energy Metrics,39,1976
1330 TRAVIS BLVD,Search Above for Results,1970-1979,FALSE, ,FAIRFIELD,Solano,Not Certified,76,38.26137167,-122.0520513,94533,Retail Store,Retail Store,"163,060",1166169,"FAIRFIELD, CA-0334",CA,Energy Metrics,36,1972
24140 MAGIC MOUNTAIN PKY,Search Above for Results,1990-1999,FALSE, ,SANTA CLARITA,Los Angeles,Not Certified, ,34.415376,-118.557258,91355,Retail Store,Retail Store,"127,713",1166171,"SANTA CLARITA, CA-0465",CA,Energy Metrics, ,1992
1169 GLENDALE GALLERIA,Search Above for Results,1970-1979,FALSE, ,GLENDALE,,Not Certified,56,34.14427,-118.259238,91210,Retail Store,Retail Store,"205,745",1166181,"GLENDALE, CA-0699",CA,Energy Metrics,44,1976
484 SUN VALLEY MALL,Search Above for Results,1960-1969,FALSE, ,CONCORD,Contra Costa,Not Certified,74,37.96912167,-122.0602637,94520,Retail Store,Retail Store,"200,160",1166182,"CONCORD, CA-0691-MS",CA,Energy Metrics,36,1967
6420 S PACIFIC BLVD,Search Above for Results,1920-1929,FALSE, ,HUNTINGTON PARK,Los Angeles,Not Certified,74,33.981064,-118.224754,90255,Retail Store,Retail Store,"64,000",1166184,"HUNTINGTON PARK, CA-0955",CA,Energy Metrics,36,1928
2555 EL CAMINO REAL,Search Above for Results,1970-1979,FALSE, ,CARLSBAD,San Diego,Not Certified,67,33.178677,-117.331013,92008,Retail Store,Retail Store,"153,425",1166185,"CARLSBAD, CA-0566",CA,Energy Metrics,35,1970
15740 WHITTWOOD LANE,Search Above for Results,1970-1979,FALSE, ,WHITTIER,Los Angeles,Not Certified,65,33.942782,-117.993992,90603,Retail Store,Retail Store,"102,296",1166189,"WHITTIER, CA-0557",CA,Energy Metrics,40,1973
1671 W LACEY BLVD,Search Above for Results,1990-1999,FALSE, ,HANFORD,Kings,Not Certified,61,36.32401567,-119.6705677,93230,Retail Store,Retail Store,"62,788",1166190,"HANFORD, CA-1020",CA,Energy Metrics,43,1993
600 MERCED MALL,Search Above for Results,1970-1979,FALSE, ,MERCED,Merced,Not Certified,68,37.321288,-120.483473,95348,Retail Store,Retail Store,"96,839",1166191,"MERCED, CA-0494",CA,Energy Metrics,38,1977
3040 PLAZA BONITA RD,Search Above for Results,1980-1989,FALSE, ,NATIONAL CITY,San Diego,Not Certified,57,32.655699,-117.066438,91950,Retail Store,Retail Store,"151,589",1166201,"NATIONAL CITY, CA-0634",CA,Energy Metrics,40,1981
280 HILLCREST DR W,Search Above for Results,1970-1979,FALSE, ,THOUSAND OAKS,Ventura,Not Certified,83,34.185253,-118.888309,91360,Retail Store,Retail Store,"144,959",1166220,"THOUSAND OAKS, CA-1229",CA,Energy Metrics,28,1979
100 STONEWOOD ST,Search Above for Results,1960-1969,FALSE, ,DOWNEY,Los Angeles,Not Certified,78,33.936888,-118.121124,90241,Retail Store,Retail Store,"202,121",1166229,"DOWNEY, CA-1337",CA,Energy Metrics,33,1969
3401 DALE RD,Search Above for Results,1970-1979,FALSE, ,MODESTO,Stanislaus,Not Certified,78,37.688714,-121.053955,95356,Retail Store,Retail Store,"172,200",1166233,"MODESTO, CA-1037",CA,Energy Metrics,37,1977
6100 SUNRISE BLVD,Search Above for Results,1970-1979,FALSE, ,CITRUS HTS,Sacramento,Not Certified,67,38.67782,-121.27064,95610,Retail Store,Retail Store,"200,295",1166240,"CITRUS HTS, CA-1206",CA,Energy Metrics,40,1972
4915 CLAREMONT AVE,Search Above for Results,1970-1979,FALSE, ,STOCKTON,San Joaquin,Not Certified,82,37.995167,-121.310485,95207,Retail Store,Retail Store,"183,147",1166241,"STOCKTON, CA-1156",CA,Energy Metrics,32,1974
591 BROADWAY,Search Above for Results,1960-1969,FALSE, ,CHULA VISTA,San Diego,Not Certified,82,32.629327,-117.087696,91910,Retail Store,Retail Store,"83,108",1166242,"CHULA VISTA, CA-1274",CA,Energy Metrics,33,1963
205 N ORCHARD AVE,Search Above for Results,1970-1979,FALSE, ,UKIAH,Mendocino,Not Certified,89,39.153284,-123.198367,95482,Retail Store,Retail Store,"51,297",1166247,"UKIAH, CA-1388",CA,Energy Metrics,32,1979
400 S BALDWIN AVE,Search Above for Results,1970-1979,FALSE, ,ARCADIA,Los Angeles,Not Certified,77,34.134915,-118.050994,91007,Retail Store,Retail Store,"204,563",1166254,"ARCADIA, CA-1417",CA,Energy Metrics,33,1975
555 E SHAW AVE,Search Above for Results,1970-1979,FALSE, ,FRESNO,Fresno,Not Certified,81,36.806571,-119.77789,93710,Retail Store,Retail Store,"165,348",1166257,"FRESNO, CA-1932-MS",CA,Energy Metrics,36,1972
1203 PLAZA DR,Search Above for Results,1970-1979,FALSE, ,WEST COVINA,Los Angeles,Not Certified,79,34.070375,-117.932826,91790,Retail Store,Retail Store,"203,042",1166258,"WEST COVINA, CA-1505",CA,Energy Metrics,31,1975
21840 S HAWTHORNE BLVD,Search Above for Results,1960-1969,FALSE, ,TORRANCE,Los Angeles,Not Certified,76,33.831642,-118.3495077,90503,Retail Store,Retail Store,"163,346",1166260,"TORRANCE, CA-1811",CA,Energy Metrics,34,1961
2115 S MOONEY BLVD,Search Above for Results,1960-1969,FALSE, ,VISALIA,Tulare,Not Certified,77,36.31145667,-119.3160367,93277,Retail Store,Retail Store,"107,075",1166261,"VISALIA, CA-1842",CA,Energy Metrics,40,1964
340 SOUTHLAND MALL,Search Above for Results,1960-1969,FALSE, ,HAYWARD,Alameda,Not Certified,86,37.6508025,-122.101298,94545,Retail Store,Retail Store,"155,936",1166262,"HAYWARD, CA-1844",CA,Energy Metrics,27,1964
5100 MONTCLAIR PLAZA LANE,Search Above for Results,1960-1969,FALSE, ,MONTCLAIR,San Bernardino,Not Certified,75,34.08531333,-117.6934983,91763,Retail Store,Retail Store,"197,422",1166267,"MONTCLAIR, CA-1614",CA,Energy Metrics,34,1969
3605 GALLERIA AT TYLER,Search Above for Results,1970-1979,FALSE, ,RIVERSIDE,Riverside,Not Certified,60,33.910799,-117.456686,92503,Retail Store,Retail Store,"170,766",1166270,"RIVERSIDE, CA-1960",CA,Energy Metrics,42,1970
1122 EL CAMINO REAL,Search Above for Results,1970-1979,FALSE, ,SAN BRUNO,San Mateo,Not Certified,83,37.635528,-122.417477,94066,Retail Store,Retail Store,"223,232",1166273,"SAN BRUNO, CA-1959",CA,Energy Metrics,28,1972
6000 S HANNUM AVE,Search Above for Results,1970-1979,FALSE, ,CULVER CITY,Los Angeles,Not Certified,80,33.985797,-118.394006,90230,Retail Store,Retail Store,"203,832",1166277,"CULVER CITY, CA-1572-MS",CA,Energy Metrics,34,1976
1321 S BROADWAY,Search Above for Results,1960-1969,FALSE, ,SANTA MARIA,"Santa Barbara, San Luis Obispo",Not Certified,89,34.937754,-120.437592,93454,Retail Store,Retail Store,"80,965",1166278,"SANTA MARIA, CA-1871",CA,Energy Metrics,30,1965
1600 TOWN CENTER DR,Search Above for Results,1980-1989,FALSE, ,MONTEBELLO,Los Angeles,Not Certified,63,34.035952,-118.085979,90640,Retail Store,Retail Store,"139,305",1166289,"MONTEBELLO, CA-2172",CA,Energy Metrics,44,1985
72900 HWY 111,Search Above for Results,1980-1989,FALSE, ,PALM DESERT,Riverside,Not Certified,54,33.723636,-116.392841,92260,Retail Store,Retail Store,"91,566",1166303,"PALM DESERT, CA-2096",CA,Energy Metrics,48,1983
290 E VIA RANCHO PKWY,Search Above for Results,1980-1989,FALSE, ,ESCONDIDO,San Diego,Not Certified,72,33.069791,-117.064086,92025,Retail Store,Retail Store,"154,143",1166304,"ESCONDIDO, CA-2171",CA,Energy Metrics,35,1986
2501 MING AVE,Search Above for Results,1980-1989,FALSE, ,BAKERSFIELD,Kern,Not Certified,70,35.336549,-119.031464,93304,Retail Store,Retail Store,"154,925",1166315,"BAKERSFIELD, CA-2209",CA,Energy Metrics,41,1986
355 FLETCHER PKWY,Search Above for Results,1990-1999,FALSE, ,EL CAJON,San Diego,Not Certified, ,32.804516,-116.965886,92020,Retail Store,Retail Store,"161,823",1166325,"EL CAJON, CA-2414",CA,Energy Metrics, ,1990
1131 W RANCHO VISTA BLVD,Search Above for Results,1990-1999,FALSE, ,PALMDALE,Los Angeles,Not Certified, ,34.604008,-118.151661,93551,Retail Store,Retail Store,"113,847",1166332,"PALMDALE, CA-2388",CA,Energy Metrics, ,1990
1260 GIBSON RD,Search Above for Results,1980-1989,FALSE, ,WOODLAND,Yolo,Not Certified,80,38.662237,-121.762706,95776,Retail Store,Retail Store,"51,183",1166338,"WOODLAND, CA-2276",CA,Energy Metrics,34,1986
1199 COLUSA AVE,Search Above for Results,1990-1999,FALSE, ,YUBA CITY,Sutter,Not Certified,62,39.144545,-121.632516,95991,Retail Store,Retail Store,"51,173",1166339,"YUBA CITY, CA-2385",CA,Energy Metrics,49,1990
